name,type,category,parent,aliases,description
Samsung,brand,Smartphone,,"Samsung Indonesia|Samsung ID","Produsen elektronik dan smartphone global asal Korea Selatan"
Apple,brand,Smartphone,,"Apple ID|Apple Indonesia|Apple Inc","Perusahaan teknologi global pembuat iPhone, iPad, dan Mac"
Xiaomi,brand,Smartphone,,"Xiaomi Indonesia|Mi Indonesia","Perusahaan elektronik konsumen dan teknologi asal Tiongkok"
Oppo,brand,Smartphone,,"Oppo Indonesia|OPPO ID","Produsen smartphone dan perangkat pintar asal Tiongkok"
Vivo,brand,Smartphone,,"Vivo Indonesia|VIVO ID","Perusahaan teknologi produsen smartphone asal Tiongkok"
Realme,brand,Smartphone,,"Realme Indonesia|realme ID","Brand smartphone dan teknologi konsumen"
Infinix,brand,Smartphone,,"Infinix Indonesia|Infinix ID","Brand smartphone di bawah naungan Transsion Holdings"
Asus,brand,Smartphone,,"Asus Indonesia|ASUS ID","Produsen perangkat keras komputer dan smartphone asal Taiwan"
Tecno,brand,Smartphone,,"Tecno Mobile|Tecno Indonesia","Brand smartphone di bawah Transsion Holdings"
"Samsung Galaxy S24 Ultra",product,Smartphone,Samsung,"Galaxy S24 Ultra|S24 Ultra|Samsung S24 Ultra","Smartphone flagship Samsung dengan stylus S-Pen dan Snapdragon 8 Gen 3"
"Samsung Galaxy S24",product,Smartphone,Samsung,"Galaxy S24|S24|Samsung S24","Smartphone flagship kompak dari Samsung dengan fitur Galaxy AI"
"Samsung Galaxy A55",product,Smartphone,Samsung,"Galaxy A55|A55 5G|Samsung A55","Smartphone mid-range Samsung dengan frame metal dan sertifikasi IP67"
"Samsung Galaxy A57",product,Smartphone,Samsung,"Galaxy A57|A57|Samsung A57","Smartphone kelas menengah masa depan Samsung lini seri A"
"Samsung Galaxy A54",product,Smartphone,Samsung,"Galaxy A54|A54 5G|Samsung A54","Smartphone kelas menengah populer Samsung rilisan 2023"
"Samsung Galaxy A35",product,Smartphone,Samsung,"Galaxy A35|A35 5G|Samsung A35","Smartphone mid-range Samsung dengan layar Super AMOLED 120Hz"
"Samsung Galaxy A15",product,Smartphone,Samsung,"Galaxy A15|A15 LTE|A15 5G","Smartphone entry-level Samsung dengan layar Super AMOLED"
"Samsung Galaxy Z Fold 6",product,Smartphone,Samsung,"Galaxy Z Fold 6|Z Fold 6|Fold 6","Smartphone layar lipat premium Samsung format buku"
"Samsung Galaxy Z Flip 6",product,Smartphone,Smartphone,"Galaxy Z Flip 6|Z Flip 6|Flip 6","Smartphone layar lipat clamshell kompak dari Samsung"
"iPhone 16 Pro Max",product,Smartphone,Apple,"16 Pro Max|iPhone 16 Pro Max ID","Flagship tertinggi Apple dengan layar 6.9 inci dan chip A18 Pro"
"iPhone 16 Pro",product,Smartphone,Apple,"16 Pro|iPhone 16 Pro ID","Flagship kompak Apple dengan kamera 5x telephoto dan Camera Control"
"iPhone 16",product,Smartphone,Apple,"iPhone 16 Reguler|iP 16","Lini standar iPhone dengan Action Button dan chip A18"
"iPhone 15 Pro Max",product,Smartphone,Apple,"15 Pro Max|iPhone 15 Pro Max ID","Flagship Apple bodi titanium dengan port USB-C dan lensa periskop"
"iPhone 15",product,Smartphone,Apple,"iPhone 15 Reguler|iP 15","Lini standar iPhone 15 dengan Dynamic Island dan kamera 48MP"
"iPhone 13",product,Smartphone,Apple,"iPhone 13 Reguler|iP 13","iPhone entry-flagship populer dengan daya tahan baterai andal"
"iPhone 11",product,Smartphone,Apple,"iPhone 11 Reguler|iP 11","Smartphone legendaris Apple dengan kamera ganda ultra wide"
"Xiaomi 14",product,Smartphone,Xiaomi,"Mi 14|Xiaomi 14 Reguler","Flagship kompak Xiaomi berkolaborasi dengan lensa Leica"
"Xiaomi 14T Pro",product,Smartphone,Xiaomi,"14T Pro|Xiaomi 14T Pro ID","Flagship killer Xiaomi dengan kamera Leica dan chipset Dimensity 9300+"
"Redmi Note 13 Pro",product,Smartphone,Xiaomi,"Redmi Note 13 Pro 5G|Note 13 Pro","Smartphone mid-range Xiaomi dengan kamera utama 200MP OIS"
"Redmi Note 13",product,Smartphone,Xiaomi,"Redmi Note 13 4G|Note 13","Pilihan mid-range terjangkau dengan layar AMOLED 120Hz"
"Redmi 13C",product,Smartphone,Xiaomi,"Redmi 13 C|Xiaomi 13C","Smartphone entry-level terjangkau dengan RAM besar"
"POCO F6",product,Smartphone,Xiaomi,"Poco F6 5G|F6","Smartphone gaming performa tinggi berchipset Snapdragon 8s Gen 3"
"POCO X6 Pro",product,Smartphone,Xiaomi,"Poco X6 Pro 5G|X6 Pro","Performa kencang Dimensity 8300-Ultra di kelas harga menengah"
"POCO M6 Pro",product,Smartphone,Xiaomi,"Poco M6 Pro 4G|M6 Pro","Smartphone all-rounder terjangkau dengan layar Flow AMOLED 120Hz"
"Oppo Find X7 Ultra",product,Smartphone,Oppo,"Find X7 Ultra|Oppo Find X7","Flagship kamera premium kolaborasi Hasselblad dengan dual-periscope"
"Oppo Reno 12 Pro",product,Smartphone,Oppo,"Reno 12 Pro 5G|Reno12 Pro","Smartphone fotografi potret dengan fitur GenAI dan bodi tahan banting"
"Oppo Reno 11",product,Smartphone,Oppo,"Reno 11 5G|Reno11","Smartphone mid-range dengan kamera portrait telephoto 32MP"
"Oppo A79",product,Smartphone,Oppo,"Oppo A79 5G|A79","Smartphone kelas menengah Oppo dengan desain Glowing Feather"
"Oppo A58",product,Smartphone,Oppo,"Oppo A58 4G|A58","Smartphone harian dengan layar Sunlight FHD+ dan baterai 5000mAh"
"Vivo X100 Pro",product,Smartphone,Vivo,"X100 Pro|Vivo X100 Pro ZEISS","Flagship kamera profesional kolaborasi ZEISS dengan sensor 1 inci"
"Vivo V30 Pro",product,Smartphone,Vivo,"V30 Pro 5G|Vivo V30 Pro ZEISS","Smartphone potret tipis pertama seri V dengan optik ZEISS"
"Vivo V40",product,Smartphone,Vivo,"Vivo V40 5G|V40","Smartphone stylish dengan baterai 5500mAh dan kamera ZEISS"
"Vivo Y28",product,Smartphone,Vivo,"Vivo Y28 4G|Y28","Smartphone entry-level dengan Star Halo Dynamic Light dan baterai 6000mAh"
"Vivo Y100",product,Smartphone,Vivo,"Vivo Y100 5G|Y100","Smartphone trendi dengan desain kulit fiber premium dan FlashCharge 80W"
"Realme GT 6",product,Smartphone,Realme,"GT 6|realme GT6","Flagship killer Realme dengan chipset Snapdragon 8s Gen 3 dan layar 6000 nits"
"Realme 12 Pro+",product,Smartphone,Realme,"Realme 12 Pro Plus|12 Pro+","Pionir kamera periskop telefoto di kelas smartphone mid-range"
"Realme C67",product,Smartphone,Realme,"realme C67|C67","Smartphone kelas pemula berbekal kamera 108MP 3x In-sensor Zoom"
"Realme Note 50",product,Smartphone,Realme,"realme Note 50|Note 50","Smartphone entry-level super terjangkau dengan layar 90Hz"
"Infinix GT 20 Pro",product,Smartphone,Infinix,"GT 20 Pro|Infinix GT20 Pro","Smartphone gaming resmi turnamen e-sports dengan chip display gaming dedicated"
"Infinix Note 40 Pro",product,Smartphone,Infinix,"Note 40 Pro|Infinix Note40 Pro","Smartphone mid-range dengan fitur wireless All-Round FastCharge 2.0"
"Infinix Hot 40 Pro",product,Smartphone,Infinix,"Hot 40 Pro|Infinix Hot40 Pro","Smartphone terjangkau bertenaga MediaTek Helio G99"
"Asus ROG Phone 8",product,Smartphone,Asus,"ROG Phone 8 Pro|ROG 8","Smartphone gaming nomor satu dengan Snapdragon 8 Gen 3 dan sertifikasi IP68"
"Asus Zenfone 11 Ultra",product,Smartphone,Asus,"Zenfone 11 Ultra|Zenfone 11","Flagship all-rounder Asus berlayar lega dengan fitur AI canggih"
"Tecno Camon 30 Pro",product,Smartphone,Tecno,"Camon 30 Pro 5G|Camon 30 Pro","Smartphone fokus kreasi konten video dan foto berchipset Dimensity 8200"
"Tecno Pova 6 Pro",product,Smartphone,Tecno,"Pova 6 Pro 5G|Pova 6 Pro","Smartphone berdesain mecha futuristik dengan baterai masif 6000mAh"
Toyota,brand,Mobil,,"Toyota Indonesia|TAM|Toyota Astra Motor","Pabrikan otomotif terbesar di Indonesia asal Jepang"
"Honda Mobil",brand,Mobil,,"Honda Prospect Motor|HPM|Honda Auto ID","Pabrikan mobil asal Jepang di Indonesia di bawah Honda Prospect Motor"
"Mitsubishi Motors",brand,Mobil,,"Mitsubishi Indonesia|MMKSI","Pabrikan kendaraan penumpang dan niaga asal Jepang"
Hyundai,brand,Mobil,,"Hyundai Motors Indonesia|HMID","Pabrikan otomotif dan pelopor kendaraan listrik asal Korea Selatan"
"Suzuki Mobil",brand,Mobil,,"Suzuki Indonesia|Suzuki Indomobil","Produsen mobil penumpang dan komersial asal Jepang"
"Wuling Motors",brand,Mobil,,"Wuling Indonesia|SGMW","Produsen mobil asal Tiongkok pelopor mobil listrik mungil di Indonesia"
Daihatsu,brand,Mobil,,"Astra Daihatsu Motor|ADM","Pabrikan otomotif spesialis mobil kompak dan ramah keluarga"
BYD,brand,Mobil,,"BYD Motor Indonesia|BYD Auto","Raksasa produsen kendaraan listrik murni (EV) global asal Tiongkok"
"Toyota Avanza",product,Mobil,Toyota,"All New Avanza|Avanza","MPV sejuta umat terpopuler di Indonesia berpenggerak roda depan"
